,class,text
2385,13,"Hypocrisy is Pakistani team can offer namaz on the ground but Dhoni cant display balidan badge?? Then Indian team should offer Hanuman Chalisa, Durga Puja on the ground.  #DhoniKeepsTheGlove"
2387,7,Fuck @realDonaldTrump @POTUS  Way to make it financially more difficult to support a US company and the future of the auto industry 🖕🏽 #assclown #WorstPresidentEver #RealNews #DoucheBag https://t.co/paXDL5k5Vf
2389,13,😂Forget Parsees Save 😂 #CongBachaoRahulHatao #congressneveragain #CongressMuktMaharashtra #CongressParty #congresschorhai #rajivviraatvacation #rajivgandhichorhai #rahulscorpenelink #RahulNowLiability #CongratulationsMheshimiwa #AbkiBaar300Paar #AbHogaNYAY #CongressMuktBharat https://t.co/ahrf2pJ0xm
2390,7,@BrianKarem @realDonaldTrump Be Quiet or the racist scarecrow with the orange face will get you!!  #fucktrump #FUCKTHEGOP #ImpeachTrumpNow https://t.co/RAyBWJczqR
2395,7,I'm NOT checking any fucking citizenship box #FuckTrump. https://t.co/nfe8RKYIKV
2398,7,Traitor piece of shit mother fucker. #FuckTrump #TraitorTrump #ImpeachTheMFTraitor
2401,7,What a douche nozzle. #FuckTrump #BeBest #MAGA #AmericaFirst https://t.co/4pvUoYfMk9
2402,7,WHY? Oh that's right because he's a stupid fucking greedy moron with two brain dead Sons who love to kill endangered animals!  #FuckTrump   #ImpeachTrump  #WorstPresidentEver https://t.co/mMAyAOTNrH
2403,13,#TerroristNationPakistan 90% Pakistanis wants war with India and 10% said war should not be.     And   Those 10% belongs to Pakistans Armed Forces    😂    #TerroristNationPakistan
2404,13,@salmansaleh786 @AdityaRajKaul Question is... Why a #terroristNationPakistan allowed to play @ICC international cricket tournaments ???
2406,7,"Taking a trip to New York. If this gets 100 likes, I'll take a shit on Trump Tower. #fucktrump #TrumpsWorseThanNixon"
2408,7,"The UK is just going to be like another mistress for #BorisJohnson. He'll fuck her completely but eventually get bored with her and piss off, denying any responsibility for whatever bastard encumbrances he leaves her with.\nWibble."
2409,7,FUCK YEAH MY NIECE: IF PEOPLE DONT LIKE HOT CHIPS THEY SHOULD GO TO THE DOCTOR\n\nTEACH THE CHILDREN WELL ETC
2411,7, spycam lesbians kazakhstan dating sites cum grannies doctors oral sex pussy fuck ass fucked girl getting fucked clips nipples sex phat ass fucked fuck housewife girls have real sex sex stories real nipples cock pic.twitter.com/XtSNYnH8oI
2412,7,"It\'s ok to have different beliefs, if those beliefs don\'t endanger others or infringe upon their human rights.\n\nAdvocating changes in law to allow parents to Doctor Shop in order to avoid vaccines is ignorant and dangerous.\n\nAgain, fuck Jessica Biel. "
2415,1,"#CongGandiNaaliInsult #GandiNaaliAbuse May be that guy, doesn't know Hindi, most thought, they heard him say GandHi Naali !"
2416,7,but my doctor said whole grains are healthy and saturated fat in beef is bad. Do you really think you know more than my doctor?! \n\nYes God damn it I know way the fuck more than your stupid ass doctor when it comes to nutrition
2417,7,"Boris Johnson is full of shit, he wants the prime minister role as its the only toy the spoiled bastard as never had, its ok for him to play with U.K. n toss it when broken, normal people will be the ones suffering whilst that mega rich lying bastard wont give a flying fuck"
2418,7,So they're using Boris Johnson's comments to keep Nazanin Zaghari Ratcliffe imprisoned & he refuses to take any responsibility for his actions?\n\nAnd you think this twat is fit to be PM?\n\nFuck off!\n\n#GMB
2421,7,"Personally, I say lets go the whole hog & get @BorisJohnson elected to PM. Him & #Trump would be a bumbling comedy double act destroying lives & the planet but making great TV! After all, it's not about policy, it's about personality & pandering to fear. Fuck your kids future! "
2422,7,Since Ive attended UCLA ive seen:\nMANY suicides\nA school shooting \nAn admissions scandal \nSchool doctor sexually assaults students\nCreepy professors/TAs who fuck students\n\nI have no idea what the fuck were #1 in 
2423,7,Golden state had two players re-injure themselves in the same game. \n\nDon\'t blame the doctors\n\nFuck them doctors.
2426,1,Going to war. Hey these other countries pd traitor Trump and kush. Now they are making it happen. Right from the start 
2429,7,How the fuck does Boris keep finding women to sleep with him ? He looks like a preschooler drew a rapists face on a chunk of uncooked sausage meat #BorisJohnson #BorisJohnsonShouldNotBePM pic.twitter.com/16e9rypbWN
2432,7,3 weeks ago I said to friends:\nId be amazed if @BorisJohnson doesnt bottle being PM again like last time & find some excuse to drop out of the race. Because he is all mouth & knows deep down he be a shit PM & cant deliver fuck all & knows he will be a failure #BorisJohnson pic.twitter.com/aNi4O9bdaM
2438,7,They wont be applauding when he fucks up Brexit. Only a moron can look at what Johnson has done as a politician and conclude that hell do what he says he will.
2443,7,This is what two stupid fucks look like..bumass crackheads all over for some little bud. VG4L very gay 4 life is what I see. dick riding bitch   pic.twitter.com/tjANQYqtrn
2454,7,"Again Congress started abusing PM from day 1. So pathetic and tragic. Matilaal, JawaharlalN, IndiraG, all were character-corrupt, and now IndiraG is MaGanga! And Mr Modi is Gandi Naali ! Even bastards never speak this language. Hate these parliamentarians.#GandiNaaliAbuse"
2462,7,dating moms taking young dick video asian doctor chubby chinese pussy angela sora fuck lesbian pic.twitter.com/73dNc6cjJS
2465,13,Basically Congress and it's allies do not like Hindus and PM represents as a Hindu which they absolutely reject. Entire Congress and it's supporters should be thrown out of this country. \n#GandiNaaliAbuse
2467,13,Opposition is a shame to the country... #GandiNaaliAbuse
2472,13,"#gandinaaliabuse  you can see how frustrated the losers are. Pathan, chopra, srivastav, bhamla are gandi naalis.That's why people didn't vote for them."
2481,13,#DonaldTrump Has Sold Out America To The Fricking Enemy Russian Commie Soviet 'REDS'  #MoreSanctionsOnRussia 'NOW'  #FuckTrump  Nuff Said ! .😠 https://t.co/hYPhOaUrcw
2502,7,@thepeopleszero #FuckTrump What a cool idea! Fuck Trump
2512,1,"@realDonaldTrump @MarshaBlackburn Another racist Southern Senator,  @MarshaBlackburn , gets down on her knees to kiss your traitorist butt. This isn't news. It's been happening for over two years. All of them will have to answer to the American people. #MAGA #TrumpIsATraitor https://t.co/dfXVBYOwUo"
2525,7,@realDonaldTrump Intel &amp; Pentagon doesn’t fu€king trust our so-called president.    How far America has fallen since 11/2016 since we elected an ENEMY OF THE PEOPLE to sit in our highest office.    #LockTrumpUp  #ImpeachmentInquiryNow  #ImpeachTrump  #ImpeachBarr  #ImpeachMnuchin  #TrumpIsATraitor https://t.co/aoCnxhIBpi
2553,7,Sick and tired of hearing about this fucking asshole too.  #FuckTrump https://t.co/xWA9L3JAnN
2564,1,"@adamcbest On this #JohnMcCainDay,  #NeverForget that   @realDonaldTrump is the  worst traitor in American  history. #TrumpIsATraitor    You're not crazy, it's just  #YouNeedToCalmDown."
2565,7,Of course @VP is a fucking bigot from a former person from Indiana go fuck yourself Mike Pence you are as big of a piece of shit as @realDonaldTrump #FuckTrump #FuckMikePence https://t.co/vbgUeb766n
2604,1,"@realDonaldTrump Can not be presidential harassment  when you are the so-called 'president'. Try again, traitor.     #FUCKTRUMP https://t.co/Kd2cm14Z14"
2605,7,Retweet this to give @realDonaldTrump a big fuck you 🖕🏿 for his birthday. #fucktrump
2618,13,"@realDonaldTrump Good riddance.  Next up, putting you in jail.  #fucktrump #fuckthegop #impeachtrump #trumpresign #traitortrump #draintheswamp #voteoutgop"
2621,7,@BonnieTowner #fucktrump   #Melanoma   #resist   #JohnMcCainDay   Melania is Trump's whore.  Trump is a fucking disgrace.   #MushroomDick  #TinyHandsHitler   #TrumpHasTinyHands
2626,13,@realDonaldTrump Donnie.....you’re just saying that because he was mean to you! He let the Baby Trump blimp fly! He let thousands of protesters line the streets of London!!  YOU....Donnie are the disgrace!!  #TrumpIsADisgrace #TrumpIsACriminal #TrumpIsATraitor
2631,13,Is today’s rising #xenophobia a product of Iceland’s racist past? #Islamophobia #antimuslim https://t.co/8QPDU2kd0D
2632,13,"Also in #India, #Indian #Sunni #Islamist #politician and #murderer (of a fellow #Muslim) #Akbaruddin #Owaisi curses #Hindu gods and calls for mass #violence and #killings.    https://t.co/5AJ6Cw8vaq https://t.co/ZJb5kWmopN"
2633,7,What a mother fucking MAROON!!!!   #FuckTrump #TrumpLies #FuckingMoron #BigLightBehindYou #BlankPaper https://t.co/2EJs1ZM6kq
2636,7,@sardesairajdeep And why don't you take stand on hinduphobia #bhosdike
2637,7,@HeatherInNVan @Twitter @TwitterMoments BUGGER OFF.  #FuckTrump
2638,7,@TrampFuneral Hmmm...    'Consultative'    #dickhead https://t.co/TwxwapeaJK
2639,7,🦝 Habitual Line Stepper. Sith Lord. #FUCKTRUMP #BLM #GoNiners #GoWarriors | 🏳️‍🌈-ally | he/him | ♒️🍺🍕🍜🌮 | NYU &amp; UHouston Alum
2646,7,#FuckTrump and Fuck Republican enablers. https://t.co/1MaL3TiuFf
2647,7,Ummm...they are criminals? #FUCKTrump #FUCKMcConnell #FUCKtheGOP https://t.co/v3oQaMlWah
2648,7,@realDonaldTrump Actually it’s not. Hope you have the 💩iest Father’s Day EVER!! #Dickhead #HappyFathersDayObama https://t.co/yuwujN93be
2651,7,You are one sick fuck #dickhead https://t.co/2yYIt4KpuA
2652,7,@BrianKarem @realDonaldTrump Ur not being fair to the Man Baby! #fucktrump #VetsAgainstTrump #fuckthatguy https://t.co/7MbmEsMr9F
2654,13,"I don't think so Dr. Shab , she deserved of your reply. Because her @sagarikaghose thought is pathetic//full of communalism /negativity/totally madness. Better would be 'ignore' , in current scenario, Not single person who are taking her seriously. #DoctorsFightBack https://t.co/HmC6qF3qQs"
2656,7,"@jonfavs You have no respect for the law, and we have no respect for you. #TraitorInChief  #TraitorInTrump  #PIG  #LyingDonald  @realDonaldTrump  @PressSec  #LyingSHS   #Fucktrump  #Fuckshs"
2665,1,"@SenSchumer That tweet is GOLDEN coming from you @SenSchumer...    What kind of FATHER gets his DAUGHTER'S friend PREGNANT not once but twice &amp; then because of YOU,  that LITTLE GIRL commits suicide?  Yep you're right...WE ARE better than that!    Happy Fathers day #MURDERER https://t.co/t4RdrH5kk8"
2674,1,@awudrick Guy is such a #douchebag his man card should be revoked
2684,7,🗣Fuck #America and this health care shit. These motherfuckas raping us with this shit. #fucktrump. Got nobody else to blame 🤷🏾‍♂️
2689,1,"@GordonRamsay @Tyson_Fury Gordon Bennet, who would want a selfie with Ramsey #dickhead"
2694,1,@realDonaldTrump @nytimes @CNN There is only ONE enemy of the state: YOU #LyingTrump #moneylaundering #rapist
2699,1,@WalshFreedom @CNBC And you're still a #Douchebag
2709,1,"@gaywonk @YouTube Little Carlos is calling for violence, that’s acceptable. Why doesn’t the 90 pound wimp do it himself? He’s so fragile.  #douchebag"
2714,13,@RepChrisStewart ——    @RepChrisStewart hitched himself to the #TrumpTrain of lies today.      Chris will get an education as he’s dragged through the mud.     Sad!    #VoteBlueNoMatterWho   #TrumpIsATraitor     ——-
2715,7,@rayleengale #Vote     #StrongerTogether     #LoveIsLove and of course .....     #FuckTrump #BlueSenate2020     💙
2716,13,"It has always rained in England during chmpions trophy and other major tournaments. Such poor scheduling of cwc 19 , no reserve day , poor ground conditions, poor preparations. #ShameOnICC"
2717,13,Is God a Tory? Waiting to be anointed.   #BorisJohnsonShouldNotBePM https://t.co/UNtLLR2PBy
2718,13,"@BorisJohnson the country is already united ... against #SpaffingBoris  .@BorisJohnson philandering, womanising, misogynist, bully of small children, con artist, racist and poundshop-trump becoming our Prime Minister  Tnx     #borisjohnson #Boris4PM #BorisJohnsonShouldNotBePM https://t.co/iTbPaCUBtM"
2719,13,@Franklin_Graham That’s a real Christian attitude you have. #douchebag
2721,13,Hey @realDonaldTrump     Three words. 'Prince of WHALES...'  😂😂😂😂😂😂    #Trump #TrumpIsAMoron #TrumpIsADisgrace #TrumpIsAFraud #GOP #resist #Resistance #TrumpIsAnInternationalDisgrace #TrumpIsATraitor #GOP #Republican https://t.co/Q2G9lhfxe6
2723,13,"@business Hey, @newbalance find other means than China. We will boycott your products as well. #boycottChina #IPtheft #humanrightsviolations"
2724,7,"@maggieNYT Narcissists don’t need to explain themselves, you should be able to know exactly what they are communicating at all times because it is THAT important. #fucktrump"
2725,13,"He's not hugging the flag, he's hiding behind it. This picture disgusts me in ways I can't even express. I don't like to call any US President a pig, but this one emphatically is... #TrumpIsATraitor #TrumpIsADisgrace #TrumpMustGo #TrumpMustResign #JohnMcCainDay https://t.co/pa0nDZXqaG"
2726,13,Ken Clarke doing his best impression of Michael Palin after being soaked in brandy for thirty years  #ToryLeadeshipContest #MichaelGove #BorisJohnsonShouldNotBePM https://t.co/Nvx87dTAl5
2727,13,We have fought many battles in our life. We have saved many people. Sacrificed many things for the people who bitch about us on our back and never stood and will stand with us. But we know what we are capable of. And we will.....👇    #GoDoctors  #DoctorsFightBack #SaveTheDoctors https://t.co/PdhV628H44
2728,13,If any other country handles the way ICC handles they will them up for poor preparation     #ShameOnICC
2729,13,@DavidWohl You fool .  Blocked! #TrumpIsATraitor #ImpeachTrumpNow https://t.co/EZx926HFtV
2730,13,@kaitlancollins Of course not!! #TrumpIsATraitor https://t.co/EFycXxONwh
2731,7,#ShameOnICC @ICC @cricketworldcup  @ICCLive  @T20WorldCup      #ShameOnICC  see India vs pak is also gone..... Fuck off @ICC   Worst World Cup series... https://t.co/Qf9yjX9VWW https://t.co/KkkWcSZVjZ
2732,13,@realDonaldTrump @senatemajldr @MarkWarner Happy #JohnMCainDay  #TrumpsWorseThanNixon  #TrumpIsATraitor  #TrumpIsNotExonerated  #TrumpIsACriminal
2733,13,Facts are Facts. #TrumpLies #TrumpLiesEveryTimeHeSpeaks  #trumpisatraitor https://t.co/X4uhAU9uDa
2734,13,"Indian Fans Angry On ICC After Another World Cup Washout, Even Amitabh Bachchan Joined Them  #ShameOnICC #ICC #worldcup2019 https://t.co/VkLs8PssYD via @metrosaga"
2736,13,"Of all Boris Johnson’s appearances on TV, tonight was definitely my favourite. #channel4debate #BorisJohnsonShouldNotBePM #BorisJohnson"
2737,7,"@piersmorgan @RoryStewartUK Your opinion is so very worthy, please can we have more.    #dickhead"
2738,13,@realDonaldTrump #LyingPresident #TrumpIsACrook #TrumpIsATraitor #TrumpIsATraitor #LyingPresident #TrumpIsACrook You cheated to win this election and that is your legacy! There were always be an asterisk* by your name. *Cheated with Putin to win the election! #YourLegacy https://t.co/1Jj9sXD6BE
2739,13,"Unlike all other presidents in the modern era, Trump has concealed his finances from the American people &amp; refused to divest himself from his worldwide business interests, making himself (and therefore the nation) vulnerable to bribery &amp; blackmail.   #TrumpIsATraitor"
2740,7,@newtgingrich your @Newsweek opinion piece is a joke...just like you.    https://t.co/az1C7U2elj    #fucknewtgingrich #fucktrump #fuckthegop #draintheswamp #voteoutgop #gop #politics
2741,13,#Trump puts golf before country! #TrumpIsATraitor
2742,13,Trump: I never took any help from Russia.    ...And I'd absolutely do it again.    #ImpeachTrumpNow #TrumpTreason #TrumpIsATraitor   https://t.co/Rb8OpigOnL
2743,13,"Shame on you @ICC.The effort you kept on Dhoni gloves, Just keep 1% from it on your world cup schedule which is getting washed away. #BANvSL #ICCWorldCup2019 #DhoniKeepsTheGlove"
2744,13,@tedlieu I would bet That Trump has a welcome mate to all foreign powers who have information on the democratic party @ the oval office doorway.   #TrumpIsATraitor
2745,7,Is there anywhere I can escape this shite? #FuckTrump #Ibelieveher #IStillBelieveHer https://t.co/rfgor4kHLK
2746,13,@SadiqKhan @CrimestoppersUK Their blood is on YOUR hands! You are as guilty for their murder as those that held the knife and gun! #Murderer
2747,13,"#VOMIT  #TrumpIsATraitor   #ImpeachTrumpNow   Happy #JohnMcCainDay,  Treasonous, weak @LindseyGrahamSC . https://t.co/dx8c1yE1Jc https://t.co/liJd1UvMVJ"
2748,13,"@TheRealOJ32 So you’re going to “hold people accountable”?    You realize you’re no longer anything but a punchline, right?    #Murderer"
2749,7,Now we can confirm the true crisis at the border now that Canada has won the @NBA finals? #FuckTrump #RaptorsInSix
2750,13,We need fast trial of each and every Rape Case    No matter Accused is Muslim or Hindu    Death Penalty for Rape Crime    #Kathuaverdict #Kathua #SanjiRam     #YuvrajSingh #DhoniKeepsTheGlove #Dhoni #GirishKarnad #INDvAUS #IndianCricketTeam #IndvsPak #tiktokindia #tiktokhot #MumbaiRains
2751,7,Men's Unisex Anti Trump AF T-Shirt in Extended Sizes - Small up to 5x https://t.co/cCONVvIIWf  #fucktrump #antitrump #votebluenomatterwho https://t.co/bzQdQSy57b
2752,13,Its not a club level cricket it's big event  which comes ones in four years. Really frustrating badly.#ShameOnICC
2753,13,Ancestor behaviour you are NOT proud of .... Charles Peace #burglar #murderer ..... can’t choose your fam https://t.co/wuXUYA01hd
2754,13,#SHAMEONICC for not keeping reserve days.  Looks like Ind vs Pak will get washed out.  Get ready for the massive rage.  @ICC @cricketworldcup #WorldCup2019
2755,13,There’s NO justification for assault on Doctors.    ▪️We need transparent medical negligence protocols. So the public can be assured of action in genuine cases.     ▪️Sensitisation of Doctors &amp; public in general on how to handle such emotionally charged situations.    #DoctorsFightBack
2756,13,@ICC ..don't know why it is focusing on a point which has no effect in the game play of world cup by leaving #umpires who are changing the chances of winnings of teams with their wrong decisions...work on topics which need to be improved rather than our msd...#DhoniKeepsTheGlove
2757,13,"@ICC why so silent?  #ShameOnICC #CWC2019 #CWC19 #ICC👎 #ICC💩   @BCCI who will punish @ICC  for their incompetency,poor management and lack of vision and responsibility????😡🤔  @Republic_Bharat @republic plzz tag 💩 @ICC  members?? https://t.co/M10PMX6xgC"
2758,13,@dharmasena_k @ICC @ICCMediaComms @ICCLive @cricketworldcup Shame on poor poor onfield umpiring. How can you appoint so dissappointing and illeterate umpires like you. #ShameOnICC
2760,13,ICC means (islamic cricket council)  Pakistan team ??   Shame you icc   love you mahi 💗💗#DhoniKeepsTheGlove https://t.co/gjJGBnefvw
2761,7,Trump is a #liar  #beggarman   #grifter   #thief  #FuckTrump  #VOTE https://t.co/HH9VYMWFTj
2763,13,"Real Michael Gove or fake Michael Gove, what do you think?    #BorisJohnsonShouldNotBePM  #BollocksToBoris   #BollockstoBrexit https://t.co/eHZsJaRHVZ"
2764,13,@Queerty LMAO! 😅   Gross. 😐   What a trainwreck.   Gay #douchebag
2765,13,"@realDonaldTrump You know nothing about geopolitics, so kindly refrain from talking about it. Actually, kindly refrain from talking, period. #DerangedDonald #TrumpisaTraitor #TrumpisaCrook #TrumpHatesAmerica"
2766,13,@hd_kumaraswamy Where are you? Why isn't this case with CBI yet? We don't want your SIT. We know they will not do the job. Please transfer case to CBI. What are you afraid of?  #IMAJewels   #IMAJewelsFraud   #IMAFraud  #IMA  #IMAFraudCase https://t.co/TcxOa97OLB
2767,13,#DoctorsFightBack we want justice https://t.co/ONUdOhagX3
2768,13,@KagisoRabada25 before calling him immature just think about yourself.. you were banned for 2 matches by ICC for your inappropriate behaviour....  @imVkohli is the pride of our 125 crore hearts ......  #ICCWorldCup #cricket #DhoniKeepsTheGlove https://t.co/pC4rrq6qSM
2769,7,@plumpne Double #dickhead 🖕🏽😜😜
2770,13,#ShameOnICC @ECB_cricket hahaha I pity on your country where called as national sport of the country for we Indians cricket is not just a sports lts a other religion. https://t.co/yLRpNKoASZ
2771,7,Benny the Butcher... @BennyBsf #thealmightytour #bennythebutcher #griseldarecords #buffalo #beatsnbars #hiphop #rap #boogiedownbronx #bronx #bx #fuckaroundlayaround #fucktrump #fucklindafairstein @ Sony Hall https://t.co/q6q7eCGjeC
2772,7,@realDonaldTrump @TuckerCarlson Got evidence of that brah?? Beyond your delusion? Like paper trail? Nah? Alright so your lying then #fucktrump #ImpeachDonaldTrumpNOW  #ImpeachmentHearingsNow   #ImpeachTheMFTraitor
2773,13,@TheRealOJ32 Why are you on my feed? #NeverForget #NicoleBrown #RonGoldman #MURDERER
2774,13,#ShameOnICC World design Changed.. https://t.co/HUUC7zL6rK
2775,13,"@women4PV ...and they’re gonna vote for a man who is so arrogant as to not even show up for a debate, who thinks he’s so much better than everyone else but who is actually unfit for the job #BorisJohnsonShouldNotBePM"
2776,7,@ABCNetwork You could make a drinking game every time Hannah jumps up on one of the bachelor's and wraps her legs around him. #barf #bachelorette #TheBachelorette @Andy @TMZ @HarveyLevinTMZ   #lukep #lukepisadick #kicklukepout #dickhead #fakeasfuck
2778,13,#DhoniKeepsTheGlove    @msdhoni isn't supposed to wear those gloves tomorrow but K.L. Rahul and Dinesh Karthik can.. just saying
2779,13,@sukiyer18 @Dramitjp @imMAK02 Yawn. Sorry Can't dumb down the issue further. Try reading to improve your grasp about issues . Or continue defending whichever political masters you lick. We will stand by #doctors and India #DoctorsFightBack
2780,13,@DelhiPolice If u all guys show the same dare to the #criminals and #rapist than #Delhi could be #crimefree. But as usual they show their strength to a poor driver who work hard to earn.  What to say more when rakshak is bhakshak.
2781,13,#toilynnkelly  #LACrime  #SugeKnight  #murderer helped by a gang of people including TMZ  https://t.co/MDjMwEysJ1
2782,7,@senatemajldr You're LYING to America and HIDING legislation from debate and votes! If you believe in your 'Senate Majority' then bring the bills to the floor! If you're on the right side of the issue you'll win. If not then GTFO. #RepublicanSocialism #GOPtreason #ComplicitGOP #FuckTrump
2783,13,"@ICC - Are you sure, you are credible enough to conduct cricket world cup?    Stop just staring and pointing out at attire of cricketers    #Dhonigloves  #ENGvWI   #ShameOnICC   #WeTheNorth"
2784,7,Can't understand how stupid one can be where he can't let go his arrogance and ego for the whole fukin state...  #DoctorsFightBack  #DidiDividesIndia
2785,13,"Well, well, well--the first domino has fallen. See: Former White House aide Hicks agrees to testify to House panel investigating Trump https://t.co/bbNSM6xVuc  #TrumpObstructedJustice #TrumpisaTraitor"
2786,13,"Come Yashwant you believe @BCCI to Put country up and above Money, NEVER gona happen #DhoniKeepsTheGlove https://t.co/kLGxg0cEa9"
2787,13,#ShameOnICC Misbah doing pushups on ground is nothing for ICC.but MS badge is under scanner woww.. If meaning of bias was something it should be ICC
2788,13,Why didn’t doctors protest for #DrPayalTadvi or #drkhafeel or when MCD hospital doctors protested for their due salaries? Why? I do believe in safe working atmosphere for doctors. Is it happening because of West Bengal politics ?. #DoctorsStrike #DoctorsFightBack #DoctorsProtest
2789,7,Wish I could be around to read the history books. I'm certain that this motherfucker @realDonaldTrump will be known as the worst TRAITOR this country has ever seen. &amp; history will eventually expose all of their crimes. They're all criminal thugs.    #TrumpIsATraitor #ImpeachTrump https://t.co/7AFIwgbJZi
2790,1,"@realDonaldTrump Our country is divided as it never has been before (humm, wonder who is responsible for that?) and all you Repubs can worry about is a piece of clothe? Why don't you BAN use of Confederate &amp; Nazi flags?     This is ALL distraction.    #DraftDodgerSaysWhat  #TrumpIsATraitor   #ResignNow https://t.co/LPpDH3oXeL"
2791,13,@Ghostofcass1 Who is “Trump?”    #JohnMcCainDayJune14 #TrumpIsATraitor #TrumpCriminal #gopcrimesyndicate
2792,13,"The very rare two faced, A.B. de Pfeffel Johnson cat ..    #BorisJohnsonShouldNotBePM   #BollockstoBrexit   #caterday https://t.co/ApOJtrK2MW"
2794,1,"#Rangzen people, we have to stop this fake activist troll from ruining our #FreeTibet movement.     #Tibetans #humanrights #BoycottChina #Dharamsala #March10 #Tibetan #DalaiLama #BhoRangzen https://t.co/TzwRcJnBnB"
2795,13,"#DoctorsFightBack If at all @MamataOfficial wants to raise Outsiders issue, 'Outsiders' In  West Bengal  are illegal Bangladeshis &amp; Rohingyas who are fraudulently given citizenship credentials &amp; these people needs to be kicked out &amp; not Doctors."
2797,13,Wow! Look at all the lines of buyers!!! Was the store closed or is that just the typical turnout?? #DoucheBag https://t.co/1c8xfDzWGU
2798,7,Meanwhile UNpresident #pussygrabber dumb fuck @realDonaldTrump is still sitting in his office chillin. #FuckTrump https://t.co/3EG5sWyIpK
2799,7,"Everybody said when #obama was elected the first time, America had now become a 'post-racial' country. That's a good one. Best laugh of the day for sure. Ugh. #fucktrump #vote2020 #fml"
2800,13,"@realDonaldTrump There is no poll that says don't impeach, unless it is only inside your head.  #TrumpIsNotAboveTheLaw   #ImpeachmentInquiryNow   #ImpeachTrumpNow   #impeachment   #TrumpIsATraitor   #TrumpIsAFraud   #TrumpIsTheEnemyOfThePeople   #TrumpIsANationalSecurityThreat   #TrumpIsACriminal"
2801,7,"@Allegedly_G We shall call it the #Impeachment Gala and celibrate for 96 hours, from #TraitorTuesday to #FuckTrump Friday, with huge parades from sea to shining sea. https://t.co/o7iiO78sVx"
2802,13,"This is the alleged rapist who attempted to #rape a Doctor who was working night shift at Pelonomi Hospital in Bloemfontein this week, the said Doctor then fought back and bit the #tongue off of the attempted #rapist.    🙏👏🙌👊👌 https://t.co/5oulTabn5O"
2803,13,@washingtonpost I might be grasping at straws here but he might be advocating seditious behavior by way of a wink and a nod in a tweet. #TrumpIsATraitor https://t.co/xv5eXO5iqp
2804,7,"@realDonaldTrump So did you start this so when you get out of prison, if you ever do. You'll get help to immerse yourself back into society? #McCainsAHeroDay #FuckTrump #treason #ImpeachTrump #ResignTrump #TraitorTrump"
2806,13,Congratulations Michael Phelps for winning Cricket World Cup 2019    #ShameOnICC https://t.co/2nxZ1cUFi5 (https://t.co/RO2OKk47km)
2807,7,Bitch please he has/had no compassion for the Central Park 5 this shit is a stunt. Not saying her intentions isn't pure Trump shit is not. I need her to ask him about them babies in cages. #FUCKTRUMP #KimKardashian
2808,13,"@msdeehj1 @Gypsysister58 @johncardillo @Mimirocah1 @BarackObama @you Personally, I do not like Trump's persona, but I don't throw the baby out with the bath water. He is much better for the @USA than the #ClintonCrimeFamily @HillaryClinton is EVIL personified; she and her #Rapist husband @BillClinton should be in PRISON!"
2809,13,@DanCrenshawTX Chuch Schumer = #DoucheBag
2810,7,"@realDonaldTrump @StateDept @SecPompeo America is now a country that should be policed by the UN.    Our President is one of the most corrupt in the world, our state dept are war mongers, our congress people are self serving do nothings, our government is a joke.    Help!    Oh and #FuckTrump"
2811,13,@gtconway3d They are right! #TrumpIsATraitor #TrumpIsANationalSecurityThreat
2812,13,@cdnfp @SecPompeo @StateDept @realDonaldTrump Prince of Walls??  #TrumpIsATraitor #NervousDonald
2813,13,@Acosta @ReliableSources @brianstelter @CBSSunday Dear diary...  #douchebag  You ARE the enemy of the people.
2814,13,"#DoctorsFightBack | Mamata Banerjee repeats 'outsiders' claim over doctors' protest in Kolkata, even as doctors from across India stand together demanding assurance of their safety. Tune in to watch her address #LIVE here - https://t.co/LGCyJUEBn5 https://t.co/EZp0ZIdMba"
2815,7,@DrDenaGrayson @realDonaldTrump IMPEACH NOW!! #FUCKTRUMP https://t.co/4qhx5EYRro
2816,13,"@RepMattGaetz @realDonaldTrump Too many DUIs have addled your brain. If you can still read, try a snippet of the Mueller report. There are nothing false except yours and Trump’s denials. It’s all Russians all the time. #TrumpRussia #TrumpIsATraitor #TrumpMustResign https://t.co/av4yBeKrUb"
2817,13,Picture from future... #IndvsPak #shameonICC https://t.co/8Umpc15ra5
2818,13,"@GrassrootsSpeak This sounds like a brilliant idea!!!!  We need someone to take this and run...lawyers. bet, millions of people would kick in a few bucks.  Brilliant.   #TrumpIsATraitor   #TrumpCrimeFamilyMustGo"
2819,7,"@private_prive @EOketokun fuck both of you. If I say he’s in a fucking medical, he’s in a fucking medical. I work hard for this shit, don’t come at me with that criticism shit, you want beef we can sort this out properly still #dickhead"
2820,13,"Now mamata didi cancels her meeting with the striking doctors. Shows het immaturity. She dreams of becoming the leader of India, but she is no statesman. She had egoistical mind, acts childish and behaves as a tyrant.  #DoctorsFightBack #DoctorsProtest"
2821,7,Tjer a whole doctor that can't even burn a book. No fuck man. Mmabtho should've went to Durban naye #TheQueenMzansi pic.twitter.com/IHYevZaC4F
2822,7,"Severos Vellark.  Crane doctor who was supposed to be the personal doctor to Rena Kalil but said fuck that and opened a free clinic in the slums.  Constantly exhaustd.  Saved Mikata's life at one point, and they're fwbs.  Aromantic. pic.twitter.com/OIsWyfcETn"
